"sex","age","delta","g","adj_formula_fed","intake_ref","act","intake_act"
"female",119,9.97977489601897,-23.4828409223224,1.110714658277,970.262585145126,0.99,960.559959293675
"female",120,9.98119229587507,-22.942710652632,1.11045246279817,969.132540812431,0.99,959.441215404306
"female",121,9.98272104966297,-22.4174707104863,1.11019401333904,968.051303374421,0.99,958.370790340677
"female",122,9.98436441825859,-21.9077576933341,1.10993917058202,967.022589516787,0.99,957.352363621619
"female",123,9.98612609577017,-21.413876594359,1.1096875821182,966.048470559927,0.99,956.387985854328
"female",124,9.988010641183,-20.9354704133444,1.10943847013681,965.127733122924,0.99,955.476455791695
"female",125,9.99002271620788,-20.4721035220214,1.10919100630016,964.258773685526,0.99,954.616185948671
"female",126,9.9921669825556,-20.0233402921215,1.10894436227053,963.43998872748,0.99,953.805588840206
"female",127,9.99444810193696,-19.5887450953761,1.1086977097102,962.669774728536,0.99,953.04307698125
"female",128,9.99687073606275,-19.1678823035166,1.10845022028146,961.94652816844,0.99,952.327062886755
"female",129,9.99943954664377,-18.7603162882743,1.10820106564661,961.268645526941,0.99,951.655959071672
"female",130,10.0021591953908,-18.3656114213805,1.10794941746793,960.634523283787,0.99,951.028178050949
"female",131,10.0050343440147,-17.9833320745668,1.1076944474077,960.042557918725,0.99,950.442132339538
"female",132,10.0080696542261,-17.6130426195643,1.10743532712823,959.491145911506,0.99,949.89623445239
"female",133,10.011269787736,-17.2543074281046,1.10717122829178,958.978683741874,0.99,949.388896904455
"female",134,10.014639406255,-16.906690871919,1.10690132256066,958.503567889579,0.99,948.918532210684
"female",135,10.0181831714941,-16.5697573227388,1.10662478159714,958.06419483437,0.99,948.483552886026
"female",136,10.0219057451639,-16.2430711522955,1.10634077706353,957.658961055993,0.99,948.082371445434
"female",137,10.0258117889753,-15.9261967323204,1.1060484806221,957.286263034198,0.99,947.713400403856
"female",138,10.0299059646391,-15.6186984345449,1.10574706393514,956.944497248731,0.99,947.375052276243
"female",139,10.0341929338661,-15.3201406307003,1.10543569866494,956.632060179341,0.99,947.065739577547
"female",140,10.038677358367,-15.0300876925181,1.10511355647379,956.347348305776,0.99,946.783874822718
"female",141,10.0433638998527,-14.7481039917296,1.10477980902398,956.088758107784,0.99,946.527870526706
"female",142,10.048257220034,-14.4737539000661,1.10443362797779,955.854686065113,0.99,946.296139204462
"female",143,10.0533619806215,-14.2066017892591,1.10407418499752,955.643528657511,0.99,946.087093370936
"female",144,10.0586828433263,-13.94621203104,1.10370065174545,955.453682364726,0.99,945.899145541079
"female",145,10.0642244698589,-13.69214899714,1.10331219988386,955.283543666506,0.99,945.730708229841
"female",146,10.0699915219303,-13.4439770592906,1.10290800107505,955.131509042599,0.99,945.580193952173
"female",147,10.0759886612512,-13.2012605892232,1.10248722698131,954.995974972753,0.99,945.446015223026
"female",148,10.0822205495325,-12.9635639586691,1.10204904926491,954.875337936716,0.99,945.326584557349
"female",149,10.0886918484848,-12.7304515393597,1.10159263958816,954.767994414237,0.99,945.220314470094
"female",150,10.0954072198191,-12.5014877030263,1.10111716961333,954.672340885062,0.99,945.125617476211
"female",151,10.1023713252461,-12.2762368214005,1.10062181100272,954.58677382894,0.99,945.040906090651
"female",152,10.1095888264765,-12.0542632662134,1.10010573541862,954.509689725619,0.99,944.964592828363
"female",153,10.1170635592654,-11.8351662345554,1.09956829817872,954.439614472057,0.99,944.895218327336
"female",154,10.1247932550381,-11.6188023046849,1.09901021192906,954.376030439273,0.99,944.832270134881
"female",155,10.1327729092409,-11.4051434138614,1.09843279767425,954.318848692795,0.99,944.775660205867
"female",156,10.140997504415,-11.1941620434909,1.0978373792885,954.267982320292,0.99,944.725302497089
"female",157,10.1494620231014,-10.9858306749792,1.09722528064604,954.223344409434,0.99,944.68111096534
"female",158,10.158161447841,-10.7801217897324,1.09659782562108,954.184848047892,0.99,944.642999567413
"female",159,10.1670907611748,-10.5770078691561,1.09595633808784,954.152406323337,0.99,944.610882260103
"female",160,10.1762449456438,-10.3764613946565,1.09530214192054,954.125932323437,0.99,944.584673000203
